,YStock,XStock,PValue,Beta,STD_ERR_Ratio,Alpha,Current_STD_Error
0,AXISBANK,BANKBARODA,0.00,1.85,1.06,293.96,2.36
1,HDFCBANK,AXISBANK,0.00,0.77,1.06,1603.02,-0.65
2,ICICIBANK,AXISBANK,0.00,0.42,1.06,66.80,-0.43
3,AXISBANK,IDFCBANK,0.56,0.55,0.92,524.23,1.96
4,INDUSINDBK,AXISBANK,0.00,0.53,1.06,1597.54,-0.78
5,KOTAKBANK,AXISBANK,0.02,0.45,1.06,994.27,-0.45
6,AXISBANK,PNB,0.00,-1.40,0.94,670.98,1.88
7,AXISBANK,RBLBANK,0.00,0.72,1.03,160.77,1.10
8,SBIN,AXISBANK,0.00,0.38,1.06,57.62,-0.86
9,YESBANK,AXISBANK,0.00,0.26,1.06,200.54,-1.73
10,HDFCBANK,BANKBARODA,0.00,-2.65,1.06,2387.23,-0.01
11,ICICIBANK,BANKBARODA,0.00,1.12,1.06,142.59,2.09
12,BANKBARODA,IDFCBANK,0.00,1.61,0.92,65.87,-0.42
13,INDUSINDBK,BANKBARODA,0.13,-0.97,1.06,2022.03,-0.22
14,KOTAKBANK,BANKBARODA,0.00,-4.04,1.06,1797.80,-0.17
15,BANKBARODA,PNB,0.00,0.80,0.94,67.56,0.09
16,BANKBARODA,RBLBANK,0.91,-0.00,1.03,138.66,-0.24
17,SBIN,BANKBARODA,0.00,0.65,1.06,178.02,1.26
18,YESBANK,BANKBARODA,0.59,-0.11,1.06,356.74,-0.71
19,HDFCBANK,ICICIBANK,0.48,0.29,1.21,1937.91,-0.03
20,HDFCBANK,IDFCBANK,0.00,-19.50,0.92,2886.25,0.31
21,INDUSINDBK,HDFCBANK,0.00,0.71,1.76,459.00,-0.45
22,HDFCBANK,KOTAKBANK,0.00,0.91,1.09,889.95,0.23
23,HDFCBANK,PNB,0.00,-10.17,0.94,2912.37,-0.72
24,HDFCBANK,RBLBANK,0.00,1.71,1.03,1105.17,-1.91
25,HDFCBANK,SBIN,0.00,2.58,1.10,1333.48,-0.64
26,HDFCBANK,YESBANK,0.00,3.10,1.12,964.99,1.12
27,ICICIBANK,IDFCBANK,0.00,1.53,0.92,228.34,1.56
28,INDUSINDBK,ICICIBANK,0.22,0.42,1.21,1764.74,-0.35
29,ICICIBANK,KOTAKBANK,0.63,-0.01,1.09,306.89,1.53
30,ICICIBANK,PNB,0.94,-0.02,0.94,297.34,1.52
31,ICICIBANK,RBLBANK,0.00,0.22,1.03,177.65,0.85
32,ICICIBANK,SBIN,0.00,0.73,1.10,99.63,1.07
33,ICICIBANK,YESBANK,0.01,0.18,1.12,233.37,1.73
34,INDUSINDBK,IDFCBANK,0.00,-13.47,0.92,2484.41,-0.13
35,KOTAKBANK,IDFCBANK,0.00,-20.33,0.92,2143.04,0.16
36,PNB,IDFCBANK,0.00,1.62,0.92,15.76,-1.27
37,RBLBANK,IDFCBANK,0.00,-4.42,0.92,732.24,1.88
38,SBIN,IDFCBANK,0.08,-0.77,0.92,301.67,1.13
39,YESBANK,IDFCBANK,0.00,-3.58,0.92,499.92,-0.76
40,INDUSINDBK,KOTAKBANK,0.00,0.70,1.09,1015.68,-0.29
41,INDUSINDBK,PNB,0.00,-6.87,0.94,2488.60,-0.76
42,INDUSINDBK,RBLBANK,0.00,1.26,1.03,1209.84,-1.80
43,INDUSINDBK,SBIN,0.00,1.96,1.10,1364.25,-0.84
44,INDUSINDBK,YESBANK,0.00,2.30,1.12,1101.88,0.48
45,KOTAKBANK,PNB,0.00,-10.22,0.94,2136.66,-0.92
46,KOTAKBANK,RBLBANK,0.00,1.52,1.03,427.59,-1.62
47,SBIN,KOTAKBANK,0.00,0.08,1.09,167.90,1.19
48,YESBANK,KOTAKBANK,0.00,0.19,1.09,103.26,-0.98
49,RBLBANK,PNB,0.00,-3.49,0.94,841.84,1.67
50,SBIN,PNB,0.00,-0.81,0.94,338.07,0.96
51,YESBANK,PNB,0.00,-2.12,0.94,526.95,-1.41
52,SBIN,RBLBANK,0.00,0.35,1.03,78.43,-0.23
53,YESBANK,RBLBANK,0.00,0.40,1.03,127.22,-2.50
54,YESBANK,SBIN,0.00,0.67,1.10,161.84,-1.53
